,source,target,weight
0,0,0,0.0
1,0,1,0.0
2,0,2,0.0
3,0,3,76.0
4,0,4,37.0
5,0,5,154.0
6,0,6,15.0
7,0,7,69.0
8,0,8,0.0
9,0,9,0.0
10,0,10,5.0
11,0,11,33.0
12,0,12,78.0
13,0,13,40.0
14,0,14,394.0
15,0,15,0.0
16,0,16,27.0
17,0,17,0.0
18,0,18,445.0
19,0,19,0.0
20,0,20,73.0
21,0,21,0.0
22,0,22,24.0
23,0,23,0.0
24,0,24,0.0
25,0,25,0.0
26,0,26,0.0
27,0,27,0.0
28,0,28,0.0
29,0,29,5.0
30,0,30,0.0
31,1,0,0.0
32,1,1,0.0
33,1,2,0.0
34,1,3,0.0
35,1,4,1.0
36,1,5,1.0
37,1,6,0.0
38,1,7,0.0
39,1,8,0.0
40,1,9,0.0
41,1,10,0.0
42,1,11,0.0
43,1,12,0.0
44,1,13,0.0
45,1,14,0.0
46,1,15,0.0
47,1,16,0.0
48,1,17,0.0
49,1,18,0.0
50,1,19,0.0
51,1,20,0.0
52,1,21,0.0
53,1,22,0.0
54,1,23,0.0
55,1,24,0.0
56,1,25,0.0
57,1,26,0.0
58,1,27,0.0
59,1,28,0.0
60,1,29,0.0
61,1,30,0.0
62,2,0,0.0
63,2,1,0.0
64,2,2,0.0
65,2,3,0.0
66,2,4,0.0
67,2,5,0.0
68,2,6,0.0
69,2,7,0.0
70,2,8,0.0
71,2,9,0.0
72,2,10,0.0
73,2,11,0.0
74,2,12,0.0
75,2,13,0.0
76,2,14,1.0
77,2,15,0.0
78,2,16,0.0
79,2,17,0.0
80,2,18,0.0
81,2,19,0.0
82,2,20,0.0
83,2,21,0.0
84,2,22,0.0
85,2,23,0.0
86,2,24,0.0
87,2,25,0.0
88,2,26,0.0
89,2,27,0.0
90,2,28,0.0
91,2,29,0.0
92,2,30,0.0
93,3,0,76.0
94,3,1,0.0
95,3,2,0.0
96,3,3,0.0
97,3,4,340.0
98,3,5,1442.0
99,3,6,149.0
100,3,7,174.0
101,3,8,0.0
102,3,9,0.0
103,3,10,53.0
104,3,11,164.0
105,3,12,25.0
106,3,13,501.0
107,3,14,308.0
108,3,15,30.0
109,3,16,105.0
110,3,17,0.0
111,3,18,194.0
