,community,h_degree
2,2,709.0
1,1,678.0
4,4,448.0
16,16,417.0
5,5,380.0
25,25,326.0
10,10,266.0
31,31,236.0
20,20,181.0
32,32,177.0
29,29,174.0
8,8,158.0
15,15,141.0
11,11,133.0
14,14,121.0
3,3,118.0
17,17,114.0
22,22,112.0
28,28,110.0
23,23,105.0
44,44,102.0
34,34,101.0
24,24,93.0
51,51,70.0
26,26,68.0
12,12,67.0
37,37,62.0
6,6,59.0
13,13,57.0
21,21,56.0
42,42,56.0
7,7,53.0
18,18,46.0
39,39,45.0
19,19,44.0
0,0,38.0
36,36,36.0
27,27,36.0
40,40,35.0
35,35,28.0
43,43,26.0
54,54,24.0
53,53,23.0
52,52,22.0
38,38,21.0
41,41,21.0
45,45,21.0
47,47,19.0
49,49,16.0
30,30,15.0
48,48,14.0
55,55,13.0
33,33,10.0
59,59,10.0
57,57,9.0
50,50,8.0
56,56,8.0
46,46,7.0
9,9,7.0
58,58,6.0
