,community,connections
0,0,9
1,1,42
2,2,37
3,3,24
4,4,38
5,5,38
6,6,26
7,7,13
8,8,39
9,9,1
10,10,39
11,11,30
12,12,17
13,13,21
14,14,34
15,15,49
16,16,43
17,17,25
18,18,27
19,19,17
20,20,37
21,21,34
22,22,41
23,23,32
24,24,30
25,25,24
26,26,15
27,27,16
28,28,29
29,29,39
30,30,2
31,31,39
32,32,31
33,33,6
34,34,21
35,35,12
36,36,19
37,37,26
38,38,16
39,39,25
40,40,19
41,41,1
42,42,23
43,43,12
44,44,45
45,45,9
46,46,1
47,47,8
48,48,2
49,49,3
50,50,1
51,51,9
52,52,9
53,53,1
54,54,2
55,55,2
56,56,2
57,57,2
58,58,1
59,59,1
