,community,density
0,0,0.014265611807748836
1,1,0.007020563456834859
2,2,0.007822594013047496
3,3,0.027482195224130708
4,4,0.007758102421161939
5,5,0.0075912648459307095
6,6,0.011503319529349899
7,7,0.009352474759299123
8,8,0.13
9,9,0.04014336917562724
10,10,0.006349196070686206
11,11,0.23636363636363636
12,12,0.04382284382284382
13,13,0.11706349206349206
14,14,0.6282051282051282
15,15,0.5
16,16,0.13658536585365855
17,17,0.08056265984654731
18,18,0.054834437086092716
19,19,0.019517838483355726
20,20,0.07650273224043716
21,21,0.030357142857142857
22,22,0.057971014492753624
23,23,0.11462450592885376
24,24,0.4
25,25,0.23636363636363636
26,26,0.5
27,27,0.42857142857142855
28,28,0.3333333333333333
