,node,eign,closeness,betwness,centrality,community,density
0,0,1.5975689365706297e-06,0,0,1,0,0.014265611807748836
42,5,6.227208489708692e-05,0,0,1,0,0.014265611807748836
627,3126,1.5942108637436367e-06,0,0,1,0,0.014265611807748836
941,127,6.227208489708692e-05,0,0,1,0,0.014265611807748836
971,134,3.748296594849081e-06,0,0,1,0,0.014265611807748836
1639,270,1.7031137626458057e-06,0,0,1,0,0.014265611807748836
1841,3992,2.6722530355544714e-06,0,0,1,0,0.014265611807748836
2046,362,6.329434934593373e-06,0,0,1,0,0.014265611807748836
2303,5289,1.4067683695532698e-05,0,0,1,0,0.014265611807748836
2452,5118,4.507696409415575e-06,0,0,1,0,0.014265611807748836
2642,4320,4.683682764067297e-06,0,0,1,0,0.014265611807748836
2643,3940,4.683682764067297e-06,0,0,1,0,0.014265611807748836
2834,6397,2.603936636874889e-08,0,0,1,0,0.014265611807748836
2851,2975,3.524016168943316e-06,0,0,1,0,0.014265611807748836
2947,604,4.947592668261969e-06,0,0,1,0,0.014265611807748836
3112,665,5.6545843030501295e-06,0,0,1,0,0.014265611807748836
3260,717,0.00010683199996366513,0,0,1,0,0.014265611807748836
3318,734,1.4014885425559276e-05,0,0,1,0,0.014265611807748836
3335,5081,4.265603345037877e-07,0,0,1,0,0.014265611807748836
3390,2545,4.175860927295952e-07,0,0,1,0,0.014265611807748836
3444,782,7.834256043573425e-07,0,0,1,0,0.014265611807748836
3731,5796,2.531423831357488e-06,0,0,1,0,0.014265611807748836
3933,1022,4.886498609892308e-07,0,0,1,0,0.014265611807748836
4054,7388,5.6545843030501295e-06,0,0,1,0,0.014265611807748836
4236,1112,9.046675197595027e-06,0,0,1,0,0.014265611807748836
4242,1116,3.6808717027865826e-06,0,0,1,0,0.014265611807748836
4549,1286,1.3426319840423792e-07,0,0,1,0,0.014265611807748836
4785,4683,3.548353699024173e-07,0,0,1,0,0.014265611807748836
4787,1431,4.256174991101312e-06,0,0,1,0,0.014265611807748836
4849,6231,2.6776593536068407e-06,0,0,1,0,0.014265611807748836
4851,1472,3.749226280523121e-05,0,0,1,0,0.014265611807748836
4867,1483,1.5540228154495375e-05,0,0,1,0,0.014265611807748836
4992,1572,7.1058223460733e-07,0,0,1,0,0.014265611807748836
5016,6901,1.31479186573591e-08,0,0,1,0,0.014265611807748836
5022,3353,2.343982794942267e-08,0,0,1,0,0.014265611807748836
5047,1605,3.7889586379485435e-07,0,0,1,0,0.014265611807748836
5058,2243,6.670488833766644e-06,0,0,1,0,0.014265611807748836
5325,4244,1.1817003561137983e-05,0,0,1,0,0.014265611807748836
5379,1819,5.8696947678425946e-06,0,0,1,0,0.014265611807748836
5412,1841,4.19276793321945e-08,0,0,1,0,0.014265611807748836
5516,1913,2.307500551251637e-06,0,0,1,0,0.014265611807748836
5521,1916,8.999157234068455e-06,0,0,1,0,0.014265611807748836
5565,4169,5.027578071901075e-07,0,0,1,0,0.014265611807748836
5596,5614,1.6485733076854524e-07,0,0,1,0,0.014265611807748836
5631,2003,3.341971057973487e-06,0,0,1,0,0.014265611807748836
5648,4715,4.091179179927974e-06,0,0,1,0,0.014265611807748836
5650,3031,2.8256433087847006e-05,0,0,1,0,0.014265611807748836
5733,2114,7.94358940386728e-07,0,0,1,0,0.014265611807748836
5827,3640,1.0985893539593738e-05,0,0,1,0,0.014265611807748836
5838,2210,2.3620772016865406e-07,0,0,1,0,0.014265611807748836
5847,2220,6.15046917599468e-10,0,0,1,0,0.014265611807748836
5886,2264,2.359451438064933e-06,0,0,1,0,0.014265611807748836
5898,2278,1.2599623658357199e-05,0,0,1,0,0.014265611807748836
5943,2330,2.6663702492331997e-05,0,0,1,0,0.014265611807748836
5946,2333,2.181442147453961e-07,0,0,1,0,0.014265611807748836
5957,2342,2.1773773980637287e-06,0,0,1,0,0.014265611807748836
5963,2346,2.2383919638790785e-06,0,0,1,0,0.014265611807748836
5965,4565,3.218843767380912e-06,0,0,1,0,0.014265611807748836
6014,2409,7.834256043573425e-07,0,0,1,0,0.014265611807748836
6017,7168,7.834256043573425e-07,0,0,1,0,0.014265611807748836
6018,2506,7.834256043573425e-07,0,0,1,0,0.014265611807748836
6022,3838,7.834256043573425e-07,0,0,1,0,0.014265611807748836
6047,2446,2.181442147453961e-07,0,0,1,0,0.014265611807748836
6186,2582,1.1147775841819436e-05,0,0,1,0,0.014265611807748836
6248,2662,3.508048967167449e-08,0,0,1,0,0.014265611807748836
6326,2780,1.3342846694630613e-06,0,0,1,0,0.014265611807748836
6331,2795,4.2872147503217164e-08,0,0,1,0,0.014265611807748836
