,source,target,weight
0,0,1,20
1,0,4,86
2,0,12,11
3,0,7,47
4,0,18,6
5,0,6,26
6,0,2,67
7,0,21,9
8,0,5,30
9,0,8,2
10,0,9,12
11,0,10,30
12,0,23,3
13,0,19,9
14,0,17,2
15,0,22,1
16,0,13,2
17,0,3,3
18,0,11,1
19,1,2,25
20,1,3,30
21,1,4,377
22,1,7,19
23,1,23,2
24,1,6,40
25,1,9,6
26,1,10,17
27,1,19,30
28,1,5,10
29,1,21,10
30,1,18,4
31,1,22,1
32,2,4,41
33,2,6,37
34,2,19,17
35,2,9,10
36,2,10,48
37,2,7,106
38,2,12,7
39,2,21,10
40,2,22,1
41,2,3,14
42,2,5,9
43,2,23,8
44,2,13,2
45,2,18,4
46,2,24,1
47,2,8,4
48,2,25,1
49,2,16,1
50,3,4,23
51,3,7,12
52,3,6,2
53,3,9,3
54,3,21,3
55,3,10,4
56,3,18,2
57,3,23,1
58,4,6,52
59,4,7,31
60,4,5,25
61,4,19,34
62,4,9,3
63,4,12,15
64,4,10,20
65,4,21,7
66,4,23,1
67,4,24,1
68,4,18,3
69,4,22,1
70,4,13,1
71,5,22,2
72,5,18,6
73,5,10,34
74,5,21,9
75,5,9,11
76,5,7,12
77,5,6,4
78,5,17,2
79,5,13,2
80,5,19,1
81,6,7,61
82,6,19,32
83,6,12,8
84,6,10,11
85,6,25,1
86,6,9,2
87,6,21,1
88,6,20,1
89,6,17,1
90,6,8,2
91,6,18,1
92,6,23,1
93,7,8,14
94,7,10,24
95,7,9,8
96,7,21,7
97,7,20,24
98,7,25,4
99,7,15,1
100,7,19,12
101,7,13,1
102,7,12,5
103,7,28,2
104,7,22,1
105,7,23,2
106,7,27,1
107,7,18,3
108,7,26,1
109,8,9,2
110,8,10,2
111,9,10,153
112,9,12,1
113,9,19,1
114,9,21,16
115,9,17,2
116,9,22,2
117,9,18,3
118,10,22,6
119,10,16,37
120,10,17,67
121,10,26,1
122,10,21,38
123,10,18,12
124,10,11,4
125,10,14,5
126,10,20,10
127,10,12,3
128,10,13,2
129,10,15,1
130,10,27,2
131,10,19,1
132,12,20,1
133,13,21,4
134,21,16,2
135,21,17,3
136,21,18,7
137,21,23,1
138,21,19,1
139,18,19,1
140,18,20,1
141,18,22,2
